Date,.GDAXI,SAPG.DE,SIEGn.DE,DTEGn.DE,AIRG.DE,ALVG.DE,MBGn.DE,VOWG_p.DE,BMWG.DE,SHLG.DE,BAYGn.DE,DPWGn.DE,IFXGn.DE,MUVGn.DE,BASFn.DE,DB1Gn.DE,EONGn.DE,HNKG_p.DE,BEIG.DE,RWEG.DE,ADSGn.DE,SATG_p.DE,DTGGe.DE,HNRGn.DE,MRCG.DE,DBKGn.DE,ENR1n.DE,VNAn.DE,SY1G.DE,FREG.DE,CONG.DE,HEIG.DE,MTXGn.DE,CBKG.DE,RHMG.DE,BNRGn.DE,ZALG.DE,QIA.DE,PSHG_p.DE,1COV.DE
2022-04-29,14097.88,97.02693216,117.78,17.57,105.5,216.2,67.1,148.94,78.51,51.26,62.9,40.92,27.45,227.3,50.41,166.2,9.93,61.36,95.82,39.59,193.72,359.1,25.8,148.9,176.95,9.626,18.43,38,113.45,33.8,66.02,55.26,193.65,6.282,214.8,73.94,37.83,44.04,79.54,41.29
2022-05-02,13939.07,95.98266936,115.12,17.29,103.96,215,62.22,147.22,77.64,50.22,60.18,40.33,26.76,223.8,47.435,166.45,9.874,60.48,94.32,38.85,194.18,345.3,25.49,145.85,173.05,9.477,17.19,35.93,112.45,33.44,62.46,54.74,187.9,6.204,211.6,72.3,37.74,44.01,77.48,41.41
2022-05-03,14039.47,94.729554,114.56,17.376,106.44,217,62.88,150.2,79.98,50.42,61.14,40.2,27.425,225.3,47.51,166.6,9.824,60.96,93.52,39.08,192.26,350.3,26.26,146.8,174.05,9.861,17.865,36.2,109.85,34.06,64.32,55.22,197.1,6.412,222.4,72.18,38.07,44.06,79.58,39.4
2022-05-04,13970.82,92.97917064,115.78,17.53,102.68,213.55,62.33,148.52,79.47,51.98,61.1,40.86,27.285,224.1,49.045,166.45,9.784,60.72,93.56,40.57,193.8,337.2,26.695,147.85,168,9.818,17.805,35.25,109.65,35.13,63.3,55.42,192.3,6.31,213.1,72.48,37.15,43.34,78.32,40.2
2022-05-05,13902.52,94.69971792,116.58,17.592,108.96,199.76,61,147.18,78.03,53.06,60.54,39.96,27.335,219,47.575,163.7,9.752,59.56,93.32,40.3,188.22,337.7,25.74,137.55,169.8,9.451,17.35,35.89,109.35,35.05,60.54,54.18,189.95,6.188,211,71.34,33.21,44.05,77.78,38.75
2022-05-06,13674.29,91.13927904,114.64,17.302,107.34,195.7,62.08,145.86,79.06,51.02,59.86,38.98,27.29,216.7,47.435,161.3,9.668,61.38,91.28,40.63,181.36,330.4,25.965,138.55,164.75,9.315,17.165,34.26,102.4,34.1,61.32,53.86,188.8,6.12,207.8,69.02,33.42,43.29,76.92,38.42
2022-05-09,13380.67,90.27403272,111.7,17.142,103.82,191.66,60.56,142.72,77.62,49.7,58.72,36.26,25.645,213.7,47.08,158.65,9.762,61.42,89.04,40.03,173.54,314.9,25.76,137.2,163.45,8.956,16.68,32.71,98.4,34.03,60.42,53.74,179.3,6.048,187.05,65.82,31.9,42.87,74.56,37.54
2022-05-10,13534.74,91.15916976,114.72,17.28,104.8,193.72,61.13,142.8,78.21,50.84,61.89,37.335,25.76,217,48.51,161.3,9.854,63.24,90.64,39.49,173.36,317.5,25.785,140.6,165.1,9.101,16.685,32.84,99.94,33.24,61.8,54.14,174.45,6.142,181.9,67.16,32.53,42.1,72.34,38.43
2022-05-11,13828.64,92.56146552,116.8,17.51,107.4,205.15,63.86,146.7,82.26,51.64,58.04,37.815,26.765,227.5,49.6,162.1,10.23,63.3,93.5,40.4,181.86,330,26.1,144.15,169.55,9.314,16.23,34.17,101,34.08,64.02,54.72,180.05,6.268,186.85,68.66,32.17,42.56,76.14,39.08
2022-05-12,13739.64,92.8896624,113.9,17.948,104.44,198.34,63.51,146.44,75.78,52.76,60.4,37.95,27.6,227.1,49.06,162,9.946,62.74,93.4,38.85,180.48,312.6,26.37,144.25,160,9.132,15.625,33.11,101.35,33.32,65.22,52.18,177.25,6.284,179.35,69.42,33.09,42.51,76.44,38.99
